A,B,C,D
1.0,5.0,-9.919999998509883,38.070000003576276
2.0,18.0,-2.830000002384186,181.26000000119208
3.0,24.0,4.0800000014901165,247.29999999284743
4.0,8.0,11.199999998807908,71.29000000238419
5.0,39.0,18.160000007152558,412.32999999403955
6.0,27.0,24.999999999552966,280.05000000029804
7.0,14.0,32.180000002980236,137.23
8.0,14.0,39.05999999821186,137.29999999284743
9.0,33.0,46.29999999284744,346.18000000298025
10.0,34.0,52.98999999977648,357.1899999934435
11.0,26.0,60.109999995231625,269.1300000059605
12.0,12.0,67.32999999403954,115.34000001430512
13.0,1.0,74.05000000029803,-5.8000000011920925
14.0,36.0,80.98,378.9899999997765
15.0,9.0,88.29000000238419,82.29000000238419
16.0,29.0,95.01999999910593,302.0399999986589
17.0,17.0,102.01999999910593,170.36999998569488
18.0,34.0,109.05999999821186,356.999999999553
19.0,11.0,116.21000000417233,104.32000000357628
20.0,22.0,123.12000000059605,225.26999999165534
21.0,6.0,130.18000000298022,49.21999999463558
22.0,28.0,137.26999999165534,291.23
23.0,19.0,144.08999999940394,192.00999999932944
24.0,11.0,151.13000000596045,104.03000000074506
25.0,12.0,157.99999999955295,115.00999999932945
26.0,25.0,165.1699999976158,258.0399999986589
27.0,0.0,172.03000000074505,-16.960000001341104
28.0,30.0,179.29000000238418,313.3699999856949
29.0,13.0,186.23999999046325,126.25000001072884
30.0,7.0,193.16000000715255,60.03999999865889
31.0,17.0,200.32999999403953,170.0800000014901
32.0,4.0,207.18000000298022,27.299999992847443
33.0,33.0,214.26999999165534,346.10999999523165
34.0,3.0,221.3400000143051,16.009999999329448
35.0,15.0,228.32000000357627,148.21999999463557
36.0,22.0,235.05999999821185,225.310000013113
37.0,32.0,242.23,335.01999999910595
38.0,36.0,249.1699999976158,378.98
39.0,20.0,256.1999999988079,203.18000000298022
40.0,1.0,263.32999999403955,-5.739999998807907
41.0,19.0,270.2600000011921,192.310000013113
42.0,9.0,276.9899999997765,82.21999999463559
43.0,25.0,284.1300000059605,258.29999999284746
44.0,35.0,291.3500000047684,368.3699999856949
45.0,1.0,298.26999999165537,-5.84999999821186
46.0,13.0,305.13999999642374,125.99999999955297
47.0,13.0,312.25000001072885,126.23
48.0,2.0,319.01999999910595,5.059999998211861
49.0,6.0,326.2900000023842,49.070000003576276
50.0,36.0,333.29999999284746,378.999999999553
51.0,1.0,340.16999999761583,-5.839999992847442
52.0,2.0,347.25000001072885,5.089999999403954
53.0,14.0,354.32999999403955,137.09999999731778
54.0,20.0,361.2900000023842,203.050000000298
55.0,0.0,368.01999999910595,-16.96999999925494
56.0,3.0,375.25000001072885,16.009999999329448
57.0,23.0,382.0700000035763,236.26999999165534
58.0,18.0,389.25000001072885,181.35000000476836
59.0,35.0,396.16999999761583,368.23
60.0,6.0,402.999999999553,49.01999999910593
61.0,38.0,410.00999999932947,401.05000000029804
62.0,6.0,417.18000000298025,49.21000000417232
63.0,26.0,424.26999999165537,269.12000000059606
64.0,34.0,431.31000001311304,357.25000001072885
65.0,24.0,438.28000001192095,247.15000000178813
66.0,5.0,445.1899999934435,38.009999999329445
67.0,23.0,452.23,236.1699999976158
68.0,23.0,459.0999999973178,235.99999999955295
69.0,10.0,466.12000000059606,93.19999999880791
70.0,3.0,473.2399999904633,15.989999999776483
71.0,4.0,480.01999999910595,26.989999999776483
72.0,6.0,487.1600000071526,49.32999999403953
73.0,27.0,494.18000000298025,280.2399999904633
74.0,2.0,501.01999999910595,5.070000003576279
75.0,36.0,508.0599999982119,379.23
76.0,3.0,515.1800000029803,16.130000005960465
77.0,37.0,522.3699999856949,389.9899999997765
78.0,2.0,529.1300000059605,5.070000003576279
79.0,22.0,536.23,225.05999999821185
80.0,16.0,543.2399999904633,158.99999999955295
81.0,19.0,550.1099999952316,192.23999999046325
82.0,22.0,557.1200000005961,225.05999999821185
83.0,6.0,564.2699999916554,49.18000000298023
84.0,23.0,571.1399999964237,236.12000000059604
85.0,36.0,578.1099999952316,379.29999999284746
86.0,7.0,585.0300000007451,60.320000003576276
87.0,21.0,592.0399999986589,214.29999999284743
88.0,36.0,599.050000000298,379.08000000149013
89.0,15.0,606.1600000071526,148.21999999463557
90.0,9.0,613.0999999973178,82.23
91.0,16.0,620.3599999952316,159.32000000357627
92.0,21.0,627.2199999946356,214.03999999865889
93.0,0.0,634.2699999916554,-16.800000001192092
94.0,8.0,641.019999999106,71.01999999910593
95.0,23.0,648.2100000041723,236.01999999910592
96.0,8.0,655.3299999940396,71.10999999523163
97.0,31.0,662.2999999928475,324.31000001311304
98.0,37.0,668.999999999553,390.0399999986589
99.0,11.0,676.2699999916554,104.05000000029803
100.0,39.0,683.2699999916554,412.21000000417234
